Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Stock Market,4/17/2020,24242.49,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,4/20/2020,23650.44,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,4/21/2020,23018.88,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,4/22/2020,23475.82,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,4/23/2020,23515.26,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,4/24/2020,23775.27,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,4/27/2020,24133.78,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,4/28/2020,24101.55,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,4/29/2020,24633.86,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,4/30/2020,24345.72,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,5/1/2020,23723.69,Daily,INDU,2020-05-04T22:01:05.043
United States,Stock Market,5/4/2020,23749.76,Daily,INDU,2020-05-04T22:01:05.043
